Country,Prev_Year,Prev_Year_Production,Year,Production,YOY,YOY_Perc
Republic of Korea,2006,631086.0,2007,574396.0,-56690.0,-9.0
Republic of Korea,2014,590532.0,2015,537738.0,-52794.0,-9.0
Russian Federation,2001,29498810.0,2002,26922502.0,-2576308.0,-9.0
Viet Nam,2009,388000.0,2010,352949.39,-35050.609999999986,-9.0
Canada,2015,5874839.0,2016,5345626.0,-529213.0,-9.0
Chile,2014,1061324.0,2015,960502.0,-100822.0,-9.0
China,2005,70911229.0,2006,64536069.0,-6375160.0,-9.0
Argentina,2001,2497156.0,2002,2262120.0,-235036.0,-9.0
Austria,2012,665416.0,2013,604050.78,-61365.21999999997,-9.0
Azerbaijan,2008,1077114.0,2009,982979.0,-94135.0,-9.0
Belarus,2010,7831111.0,2011,7147938.0,-683173.0,-9.0
Saudi Arabia,2009,444138.0,2010,398993.0,-45145.0,-10.0
Spain,2014,2543930.0,2015,2284073.0,-259857.0,-10.0
Spain,2017,2239470.0,2018,2010930.0,-228540.0,-10.0
Spain,2021,2081110.0,2022,1881920.0,-199190.0,-10.0
Egypt,2012,4758040.0,2013,4265178.0,-492862.0,-10.0
France,2021,8987220.0,2022,8067380.0,-919840.0,-10.0
Germany,2011,11837200.0,2012,10665600.0,-1171600.0,-10.0
Mexico,2008,1670480.0,2009,1501232.0,-169248.0,-10.0
Mexico,2012,1801618.0,2013,1629938.0,-171680.0,-10.0
Myanmar,2016,554309.0,2017,499949.0,-54360.0,-10.0
India,2015,48009000.0,2016,43417000.0,-4592000.0,-10.0
Indonesia,2009,1176304.0,2010,1060805.0,-115499.0,-10.0
Indonesia,2010,1060805.0,2011,955488.0,-105317.0,-10.0
Indonesia,2014,1347818.0,2015,1219270.0,-128548.0,-10.0
Ireland,2021,407500.0,2022,367950.0,-39550.0,-10.0
Israel,2007,618803.0,2008,557917.0,-60886.0,-10.0
Israel,2009,608832.0,2010,548650.4,-60181.59999999998,-10.0
Israel,2014,627734.0,2015,562014.0,-65720.0,-10.0
Italy,2007,1781648.0,2008,1603828.0,-177820.0,-10.0
Japan,2008,2743000.0,2009,2459000.0,-284000.0,-10.0
New Zealand,2012,562359.78,2013,506863.91,-55495.87000000005,-10.0
Nigeria,2008,1105000.0,2009,1000000.0,-105000.0,-10.0
Peru,2022,6036604.2,2023,5445215.85,-591388.3500000006,-10.0
Poland,2020,7859510.0,2021,7081460.0,-778050.0,-10.0
Portugal,2014,539872.0,2015,486790.0,-53082.0,-10.0
Russian Federation,2011,32681467.0,2012,29532530.0,-3148937.0,-10.0
Türkiye,2003,5300000.0,2004,4770000.0,-530000.0,-10.0
Ukraine,2018,22503970.0,2019,20269190.0,-2234780.0,-10.0
Venezuela (Bolivarian Republic of),2017,421005.54,2018,379472.0,-41533.53999999998,-10.0
Colombia,2004,2035929.0,2005,1832918.0,-203011.0,-10.0
Armenia,2016,606314.0,2017,547420.0,-58894.0,-10.0
South Africa,2001,1746981.0,2002,1555905.0,-191076.0,-11.0
Spain,2011,2455101.0,2012,2192284.0,-262817.0,-11.0
Tunisia,2021,450000.0,2022,400000.0,-50000.0,-11.0
Ecuador,2016,422589.43,2017,377243.0,-45346.42999999999,-11.0
Ethiopia,2015,1039736.6,2016,921403.0,-118333.59999999998,-11.0
Finland,2014,600300.0,2015,532100.0,-68200.0,-11.0
Finland,2020,624400.0,2021,558790.0,-65610.0,-11.0
Germany,2002,11113856.0,2003,9915679.0,-1198177.0,-11.0
Germany,2004,13043559.0,2005,11624200.0,-1419359.0,-11.0
Germany,2014,11607300.0,2015,10370200.0,-1237100.0,-11.0
Lebanon,2018,645900.0,2019,572110.0,-73790.0,-11.0
Hungary,2012,547710.0,2013,487360.0,-60350.0,-11.0
India,2000,25000100.0,2001,22242700.0,-2757400.0,-11.0
Italy,2009,1753217.0,2010,1558030.0,-195187.0,-11.0
Kenya,2003,1223531.0,2004,1084412.0,-139119.0,-11.0
Pakistan,2000,1868400.0,2001,1665660.0,-202740.0,-11.0
Peru,2016,5389231.02,2017,4776294.0,-612937.0199999996,-11.0
Poland,2007,11791072.0,2008,10462100.0,-1328972.0,-11.0
Poland,2018,7311960.0,2019,6481620.0,-830340.0,-11.0
Portugal,2008,528081.0,2009,467807.0,-60274.0,-11.0
Russian Federation,2019,22074873.5,2020,19607361.0,-2467512.5,-11.0
United Republic of Tanzania,2004,731120.0,2005,651010.0,-80110.0,-11.0
Argentina,2004,2021020.0,2005,1788677.0,-232343.0,-11.0
Austria,2021,769690.0,2022,686220.0,-83470.0,-11.0
Belarus,2000,8717800.0,2001,7767600.0,-950200.0,-11.0
Bosnia and Herzegovina,2005,458615.0,2006,410422.0,-48193.0,-11.0
Tunisia,2008,370000.0,2009,324000.0,-46000.0,-12.0
Ecuador,2010,386799.0,2011,339038.0,-47761.0,-12.0
Ethiopia,2004,509716.0,2005,449996.0,-59720.0,-12.0
France,2014,8085184.0,2015,7119837.0,-965347.0,-12.0
